Page,Sessions,Average_Bounce_Rate,Average_Session_Duration,Average_Pages_Per_Session,Goal_Completions
About Us,692,57.15862716763005,5.371690751445087,4.197109826589595,43
Blog,1157,58.22058772687986,5.269835782195333,4.0743301642178045,80
Checkout,689,57.23882438316401,5.278156748911466,4.204499274310595,129
Contact Us,649,57.97278890600924,5.414791987673343,4.237904468412943,92
FAQ,797,58.32631116687578,5.307515683814303,4.173023839397741,51
Home,1755,58.450575498575496,5.225675213675213,4.086324786324786,143
Pricing,891,58.27172839506173,5.267306397306397,4.136700336700337,120
Product Details,1267,58.89864246250987,5.12646408839779,4.0190213101815315,174
Products,1045,58.491645933014354,5.1902296650717705,4.040956937799043,105
Services,1058,58.43739130434783,5.200368620037807,4.066257088846881,124
