Session_ID,User_ID,Date,Traffic_Source,Page,Device,Country,New_or_Returning,Session_Duration_Min,Pages_Per_Session,Bounce_Rate,Goal_Completions,Conversion_Rate
S107110,U12281,2026-01-01,Organic Search,FAQ,Mobile,India,New,7.47,5.1,64.64,0,0
S101660,U10493,2026-01-01,Paid Search,Products,Tablet,India,Returning,7.61,6.8,48.68,1,100
S108667,U12065,2026-01-01,Organic Search,Product Details,Mobile,India,New,3.47,2.7,79.24,0,0
S102540,U16432,2026-01-01,Organic Search,FAQ,Desktop,USA,New,5.21,4.5,54.16,1,100
S103592,U12074,2026-01-01,Organic Search,Pricing,Desktop,Australia,New,5.19,3.1,62.52,0,0
S103545,U10041,2026-01-01,Social Media,Products,Mobile,India,New,3.13,1.0,71.99,0,0
S109243,U12150,2026-01-01,Referral,Contact Us,Desktop,USA,New,3.27,2.8,57.4,0,0
S101489,U10442,2026-01-01,Referral,Products,Desktop,India,New,3.07,2.0,55.67,0,0
S105732,U11933,2026-01-01,Organic Search,Contact Us,Mobile,India,New,7.69,5.8,55.51,0,0
S101464,U13578,2026-01-01,Social Media,Product Details,Mobile,Australia,Returning,6.54,5.4,37.89,0,0
S101692,U10921,2026-01-01,Direct,Home,Desktop,India,Returning,2.46,3.0,54.8,0,0
S109280,U14611,2026-01-01,Organic Search,Services,Desktop,India,New,3.63,3.2,55.33,0,0
S101427,U14278,2026-01-01,Paid Search,Pricing,Desktop,India,Returning,6.58,5.4,61.93,0,0
S108189,U11928,2026-01-01,Organic Search,Home,Mobile,India,New,3.51,2.5,52.23,0,0
S108196,U13254,2026-01-01,Paid Search,Contact Us,Mobile,India,New,1.9,1.4,72.85,0,0
S101344,U12204,2026-01-01,Organic Search,Checkout,Mobile,USA,New,4.04,1.7,57.7,0,0
S103378,U11284,2026-01-01,Referral,About Us,Desktop,USA,New,2.62,3.0,73.94,0,0
S101153,U15416,2026-01-01,Paid Search,Checkout,Desktop,UK,Returning,2.59,2.2,70.04,0,0
S101137,U13491,2026-01-01,Paid Search,Pricing,Mobile,India,New,3.61,2.5,57.62,0,0
S102759,U16299,2026-01-01,Paid Search,Products,Mobile,USA,New,3.29,2.9,54.97,0,0
S106251,U11236,2026-01-01,Social Media,Blog,Desktop,India,Returning,0.82,1.0,71.43,0,0
S107037,U13537,2026-01-01,Direct,Services,Desktop,India,New,7.56,5.5,47.01,0,0
S105229,U16480,2026-01-01,Organic Search,Product Details,Mobile,India,Returning,3.75,3.2,59.19,1,100
S107304,U13261,2026-01-01,Paid Search,Blog,Mobile,USA,Returning,5.29,4.1,59.14,0,0
S107980,U11997,2026-01-01,Direct,Pricing,Desktop,USA,Returning,1.99,2.7,62.41,0,0
S102086,U14207,2026-01-01,Direct,Products,Mobile,India,New,11.44,7.7,50.52,0,0
S107705,U13961,2026-01-01,Organic Search,Contact Us,Desktop,UK,Returning,2.92,2.4,61.27,0,0
S104411,U13500,2026-01-01,Organic Search,Home,Mobile,India,Returning,4.2,3.5,61.26,0,0
S107655,U14670,2026-01-01,Direct,FAQ,Desktop,Australia,New,14.28,7.5,51.02,0,0
S102027,U13497,2026-01-01,Paid Search,Services,Mobile,UK,New,3.06,2.3,63.96,0,0
S102184,U10526,2026-01-01,Social Media,Blog,Desktop,India,New,3.95,2.6,66.75,0,0
S107805,U15841,2026-01-01,Organic Search,FAQ,Mobile,India,Returning,9.6,7.0,46.86,0,0
S104168,U16362,2026-01-01,Referral,Products,Desktop,India,New,5.49,4.3,63.69,0,0
S100572,U10852,2026-01-01,Direct,Home,Mobile,India,Returning,5.18,3.8,64.78,0,0
S108843,U10087,2026-01-01,Paid Search,Home,Tablet,India,New,8.82,5.9,45.4,1,100
S101899,U16354,2026-01-01,Direct,Services,Mobile,India,New,3.46,4.2,53.5,0,0
S109888,U13334,2026-01-01,Organic Search,Home,Desktop,India,New,13.11,8.4,34.01,0,0
S102249,U11656,2026-01-01,Organic Search,Checkout,Desktop,India,New,6.96,4.4,37.58,0,0
S108812,U11094,2026-01-01,Social Media,Product Details,Mobile,Canada,New,10.83,5.9,35.74,1,100
S104911,U12995,2026-01-01,Organic Search,Pricing,Mobile,USA,Returning,3.82,4.3,71.95,1,100
S104990,U14427,2026-01-01,Direct,Home,Desktop,Canada,New,13.37,8.3,29.02,0,0
S105042,U16236,2026-01-01,Organic Search,FAQ,Mobile,India,New,8.01,4.9,49.74,0,0
S102354,U11668,2026-01-01,Paid Search,Services,Mobile,Australia,New,4.39,1.8,66.02,0,0
S105055,U10823,2026-01-01,Paid Search,Blog,Mobile,India,Returning,4.06,3.5,65.87,1,100
S102356,U14115,2026-01-01,Direct,Blog,Mobile,India,New,4.97,3.3,62.12,0,0
S109062,U14632,2026-01-01,Referral,Home,Desktop,India,New,7.17,5.3,56.07,0,0
S108323,U14311,2026-01-01,Referral,Services,Mobile,UK,Returning,8.23,6.4,32.35,0,0
S108334,U13135,2026-01-01,Referral,FAQ,Mobile,India,New,2.54,3.0,56.56,0,0
S104350,U14530,2026-01-01,Paid Search,Product Details,Mobile,India,New,5.83,3.2,67.74,0,0
